CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Etanol;3,85;27/09/2018 08:26
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Diesel S500;3,78;27/09/2018 08:26
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Diesel S10;3,81;27/09/2018 08:26
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Gasolina C Comum;4,59;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Etanol;3,49;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Diesel S500;3,69;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Diesel S10;3,8;27/06/2018 12:39
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Gasolina C Comum;4,69;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Etanol;3,49;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Diesel S500;3,69;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Diesel S10;3,8;27/06/2018 13:00
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Gasolina C Comum;4,789;28/11/2018 02:07
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Etanol;3,499;27/11/2018 02:50
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;GNV;2,998;09/11/2018 18:12
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S500;3,799;02/11/2018 15:02
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S10;3,898;02/11/2018 15:02
41526112000168;POSTO SAO JOSE;RODOVIA BR 142,S/N;KM 01;ZONA RURAL;PIO IX;PI;Gasolina C Comum;4,9;24/07/2018 09:28
41526112000168;POSTO SAO JOSE;RODOVIA BR 142,S/N;KM 01;ZONA RURAL;PIO IX;PI;Diesel S10;3,55;24/07/2018 09:28
41798398000130;POSTO LAMPARINA;RODOVIA BR 135,SN;"KM: 510;";CENTRO;BUENOPOLIS;MG;Gasolina C Comum;5,149;08/10/2018 17:38
41798398000130;POSTO LAMPARINA;RODOVIA BR 135,SN;"KM: 510;";CENTRO;BUENOPOLIS;MG;Etanol;3,569;08/10/2018 17:38
41798398000130;POSTO LAMPARINA;RODOVIA BR 135,SN;"KM: 510;";CENTRO;BUENOPOLIS;MG;Diesel S10;3,989;08/10/2018 17:38
42299370000111;POSTO RUBI;RUA BELISÁRIO PENA,760;;PENHA;RIO DE JANEIRO;RJ;Gasolina C Comum;4,859;05/11/2018 16:01
42299370000111;POSTO RUBI;RUA BELISÁRIO PENA,760;;PENHA;RIO DE JANEIRO;RJ;Etanol;3,399;05/11/2018 16:01
42299370000111;POSTO RUBI;RUA BELISÁRIO PENA,760;;PENHA;RIO DE JANEIRO;RJ;GNV;2,899;05/11/2018 16:01
42299370000111;POSTO RUBI;RUA BELISÁRIO PENA,760;;PENHA;RIO DE JANEIRO;RJ;Diesel S500;3,559;05/11/2018 16:01
42299370000111;POSTO RUBI;RUA BELISÁRIO PENA,760;;PENHA;RIO DE JANEIRO;RJ;Diesel S10;3,659;05/11/2018 16:01
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Gasolina C Comum;4,5;20/06/2018 13:27
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Etanol;2,98;20/06/2018 13:27
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Diesel S500;3,41;20/06/2018 13:27
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Gasolina C Comum;4,479;17/11/2018 14:08
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Etanol;2,979;17/11/2018 14:08
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Diesel S500;3,507;22/10/2018 09:55
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Diesel S10;3,709;17/09/2018 17:09
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Gasolina C Comum;4,277;17/11/2018 14:06
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Etanol;2,799;22/10/2018 10:06
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Diesel S500;3,396;17/11/2018 14:06
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Diesel S10;3,497;17/11/2018 14:06
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Gasolina C Comum;4,299;31/07/2018 11:38
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Etanol;2,599;31/07/2018 11:38
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Diesel S10;3,439;31/07/2018 11:38
70056510000166;POSTO GONZAGAO;RODOVIA ASA BRANCA BR 122 KM 38,SN;;CENTRO;EXU;PE;Gasolina C Comum;4,975;08/10/2018 12:08
70056510000166;POSTO GONZAGAO;RODOVIA ASA BRANCA BR 122 KM 38,SN;;CENTRO;EXU;PE;Etanol;3,99;08/10/2018 12:08
70056510000166;POSTO GONZAGAO;RODOVIA ASA BRANCA BR 122 KM 38,SN;;CENTRO;EXU;PE;Diesel S10;3,925;08/10/2018 12:08
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Gasolina C Comum;4,899;14/11/2018 10:44
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Etanol;3,599;14/11/2018 10:44
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;GNV;3,049;21/11/2018 09:02
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Diesel S10;3,695;07/11/2018 08:52
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Gasolina C Comum;4,479;22/08/2018 18:39
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Etanol;3,929;22/08/2018 18:39
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Diesel S500;3,329;22/08/2018 18:39
80806904000148;POSTOS MAX;AVENIDA MARINHEIRO MAX SCHRAMM,2586;;ESTREITO;FLORIANOPOLIS;SC;Gasolina C Comum;4,199;25/09/2018 09:02
80806904000148;POSTOS MAX;AVENIDA MARINHEIRO MAX SCHRAMM,2586;;ESTREITO;FLORIANOPOLIS;SC;Diesel S10;3,499;25/09/2018 09:02
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Gasolina C Comum;4,097;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Etanol;3,497;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;GNV;2,197;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Diesel S500;3,437;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Diesel S10;3,537;25/06/2018 11:09
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Gasolina C Comum;4,58;29/08/2018 10:34
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Diesel S500;3,79;29/08/2018 10:34
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Diesel S10;3,89;29/08/2018 10:34
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Gasolina C Comum;4,175;13/07/2018 08:55
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Etanol;3,375;13/07/2018 08:55
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Diesel S10;3,335;13/07/2018 08:55
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Gasolina C Comum;4;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Etanol;3;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Diesel S500;3;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Diesel S10;3;13/07/2018 10:57
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Gasolina C Comum;4,599;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;GNV;2,899;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Diesel S500;3,199;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Diesel S10;3,299;14/07/2018 10:17
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Gasolina C Comum;4,947;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Etanol;4,149;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Diesel S500;3,327;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Diesel S10;3,394;29/06/2018 12:01
